Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,SDLC,
12/12/2019 16:25:14,0,55.75C,100%,80.0%,0.33Hz,0,
12/12/2019 16:25:24,1,55.812C,100%,80.0%,0.33Hz,0,
12/12/2019 16:25:34,2,55.875C,100%,80.0%,0.33Hz,0,
12/12/2019 16:25:44,3,56.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:25:54,4,56.062000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:26:04,5,56.125C,100%,80.0%,0.33Hz,0,
12/12/2019 16:26:14,6,56.187000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:26:24,7,56.25C,100%,80.0%,0.33Hz,0,
12/12/2019 16:26:34,8,56.312000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:26:44,9,56.375C,100%,80.0%,0.33Hz,0,
12/12/2019 16:26:54,10,56.375C,100%,80.0%,0.33Hz,0,
12/12/2019 16:27:04,11,56.562000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:27:14,12,56.625C,100%,80.0%,0.33Hz,0,
12/12/2019 16:27:24,13,56.687000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:27:34,14,56.687000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:27:44,15,56.75C,100%,80.0%,0.33Hz,0,
12/12/2019 16:27:54,16,56.812000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:28:04,17,56.812000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:28:14,18,56.812000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:28:24,19,56.875C,100%,80.0%,0.33Hz,0,
12/12/2019 16:28:34,20,56.937000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:28:44,21,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:28:54,22,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:29:04,23,57.062000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:29:14,24,57.062000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:29:24,25,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:29:34,26,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:29:44,27,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:29:54,28,56.937000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:30:04,29,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:30:14,30,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:30:24,31,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:30:34,32,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:30:44,33,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:30:54,34,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:31:04,35,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:31:14,36,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:31:24,37,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:31:34,38,57.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:31:44,39,57.125C,100%,80.0%,0.33Hz,0,
12/12/2019 16:31:54,40,57.125C,100%,80.0%,0.33Hz,0,
12/12/2019 16:32:04,41,57.125C,100%,80.0%,0.33Hz,0,
12/12/2019 16:32:14,42,57.25C,100%,80.0%,0.33Hz,0,
12/12/2019 16:32:24,43,57.312000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:32:34,44,57.375C,100%,80.0%,0.33Hz,0,
12/12/2019 16:32:44,45,57.437000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:32:54,46,57.5C,100%,80.0%,0.33Hz,0,
12/12/2019 16:33:04,47,57.562000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:33:14,48,57.625C,100%,80.0%,0.33Hz,0,
12/12/2019 16:33:24,49,57.687000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:33:34,50,57.937000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:33:44,51,58.062000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:33:54,52,58.125C,100%,80.0%,0.33Hz,0,
12/12/2019 16:34:04,53,58.312000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:34:14,54,58.437000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:34:24,55,58.875C,100%,80.0%,0.33Hz,0,
12/12/2019 16:34:34,56,59.0C,100%,80.0%,0.33Hz,0,
12/12/2019 16:34:44,57,59.25C,100%,80.0%,0.33Hz,0,
12/12/2019 16:34:54,58,59.437000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:35:04,59,59.687000000000005C,100%,80.0%,0.33Hz,0,
12/12/2019 16:35:14,60,60.0C,100.0%,80.0%,0.33Hz,0,
