Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,Debug Message,
16/12/2019 10:23:53,0,25.5C,100%,100.0%,0.33Hz,5.5C,0,Under Min Temp  Crct : 7.5,
16/12/2019 10:24:03,1,26.0C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 7.63,
16/12/2019 10:24:13,2,26.5C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 7.77,
16/12/2019 10:24:23,3,27.0C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 7.89,
16/12/2019 10:24:33,4,27.5C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.01,
16/12/2019 10:24:43,5,28.0C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.13,
16/12/2019 10:24:53,6,28.5C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.24,
16/12/2019 10:25:03,7,29.0C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.22,
16/12/2019 10:25:13,8,29.5C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.32,
16/12/2019 10:25:23,9,30.0C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.41,
16/12/2019 10:25:33,10,30.5C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.51,
16/12/2019 10:25:43,11,31.0C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.6,
16/12/2019 10:25:53,12,31.5C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.68,
16/12/2019 10:26:03,13,32.0C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.76,
16/12/2019 10:26:13,14,32.5C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.83,
16/12/2019 10:26:23,15,33.0C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.9,
16/12/2019 10:26:33,16,33.5C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.97,
16/12/2019 10:26:43,17,34.0C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.71,
16/12/2019 10:26:53,18,34.5C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.79,
16/12/2019 10:27:03,19,35.0C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.87,
16/12/2019 10:27:13,20,35.5C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 8.94,
16/12/2019 10:27:23,21,36.0C,100%,100.0%,0.33Hz,0.5C,0,Under Min Temp  Crct : 9.01,
