Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,
12/12/2019 14:03:53,0,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:04:03,1,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:04:13,2,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:04:23,3,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:04:33,4,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:04:43,5,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:04:53,6,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:05:03,7,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:05:13,8,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:05:23,9,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:05:33,10,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:05:43,11,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:05:53,12,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:06:03,13,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:06:13,14,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:06:23,15,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:06:33,16,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:06:43,17,21.187C,84.4%,25.3%,3.7Hz,
12/12/2019 14:06:53,18,21.187C,84.4%,25.3%,3.7Hz,
12/12/2019 14:07:03,19,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:07:13,20,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:07:23,21,21.187C,84.4%,25.3%,3.7Hz,
12/12/2019 14:07:33,22,21.187C,84.4%,25.3%,3.7Hz,
12/12/2019 14:07:43,23,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:07:53,24,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:08:03,25,21.187C,84.4%,25.3%,3.7Hz,
12/12/2019 14:08:13,26,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:08:23,27,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:08:33,28,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:08:43,29,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:08:53,30,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:09:03,31,21.25C,83.9%,25.2%,3.7Hz,
12/12/2019 14:09:13,32,21.312C,83.5%,25.0%,3.7Hz,
12/12/2019 14:09:23,33,21.312C,83.5%,25.0%,3.7Hz,
12/12/2019 14:09:33,34,21.375C,83.0%,24.9%,3.7Hz,
12/12/2019 14:09:43,35,21.375C,83.0%,24.9%,3.7Hz,
12/12/2019 14:09:53,36,21.437C,82.6%,24.8%,3.7Hz,
12/12/2019 14:10:03,37,21.437C,82.6%,24.8%,3.7Hz,
12/12/2019 14:10:13,38,21.5C,82.1%,24.6%,3.6Hz,
12/12/2019 14:10:23,39,21.562C,81.7%,24.5%,3.6Hz,
12/12/2019 14:10:33,40,21.687C,80.8%,24.2%,3.6Hz,
12/12/2019 14:10:43,41,21.75C,80.4%,24.1%,3.6Hz,
12/12/2019 14:10:53,42,21.812C,79.9%,24.0%,3.6Hz,
12/12/2019 14:11:03,43,21.812C,79.9%,24.0%,3.6Hz,
12/12/2019 14:11:13,44,21.875C,79.5%,23.8%,3.6Hz,
12/12/2019 14:11:23,45,21.937C,79.0%,23.7%,3.6Hz,
12/12/2019 14:11:33,46,22.0C,78.6%,23.6%,3.6Hz,
12/12/2019 14:11:43,47,22.062C,78.1%,23.4%,3.6Hz,
12/12/2019 14:11:53,48,22.125C,77.7%,23.3%,3.6Hz,
12/12/2019 14:12:03,49,22.187C,77.2%,23.2%,3.5Hz,
12/12/2019 14:12:13,50,22.312C,76.3%,22.9%,3.5Hz,
12/12/2019 14:12:23,51,22.437C,75.5%,22.6%,3.5Hz,
12/12/2019 14:12:33,52,22.562C,74.6%,22.4%,3.5Hz,
12/12/2019 14:12:43,53,22.625C,74.1%,22.2%,3.5Hz,
12/12/2019 14:12:53,54,22.687C,73.7%,22.1%,3.5Hz,
