Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,Debug Message,
21/08/2020 18:57:04,0,19.69C,100%,100.0%,0.33Hz,-0.31 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 7.5,
21/08/2020 18:57:14,1,19.69C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 7.95,
24/08/2020 18:12:46,2,19.69C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 7.95,
24/08/2020 18:12:56,3,19.69C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 7.95,
24/08/2020 18:13:06,4,19.75C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.17,
24/08/2020 18:13:16,5,19.75C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.38,
24/08/2020 18:13:26,6,19.75C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 7.94,
24/08/2020 18:13:36,7,19.81C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.19,
24/08/2020 18:13:46,8,19.81C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.39,
24/08/2020 18:13:56,9,19.81C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.57,
24/08/2020 18:14:06,10,19.88C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.72,
24/08/2020 18:14:16,11,20.0C,100%,100.0%,0.33Hz,0.12 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 7.94,
24/08/2020 18:14:26,12,20.12C,100%,100.0%,0.33Hz,0.12 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.18,
24/08/2020 18:14:36,13,20.25C,100%,100.0%,0.33Hz,0.12 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.39,
24/08/2020 18:14:46,14,20.44C,100%,100.0%,0.33Hz,0.19 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.62,
24/08/2020 18:14:56,15,20.62C,100%,100.0%,0.33Hz,0.19 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.75,
