Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,
12/12/2019 13:40:00,0,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:40:10,1,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:40:20,2,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:40:30,3,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:40:40,4,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:40:50,5,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:41:00,6,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:41:10,7,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:41:20,8,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:41:30,9,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:41:40,10,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:41:50,11,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:42:00,12,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:42:10,13,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:42:20,14,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:42:30,15,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:42:40,16,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:42:50,17,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:43:00,18,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:43:10,19,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:43:20,20,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:43:30,21,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:43:40,22,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:43:50,23,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:44:00,24,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:44:10,25,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:44:20,26,21.25C,100%,100.0%,4.0Hz,
