Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,Debug Message,
03/06/2020 18:07:40,0,21.0C,100%,100.0%,0.33Hz,1.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 7.5,
03/06/2020 18:07:50,1,21.06C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 7.95,
03/06/2020 18:08:00,2,21.06C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 6.86,
03/06/2020 18:08:10,3,21.06C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 7.27,
03/06/2020 18:08:20,4,21.12C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 7.61,
03/06/2020 18:08:30,5,21.19C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 7.91,
03/06/2020 18:08:40,6,21.31C,100%,100.0%,0.33Hz,0.12 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.17,
03/06/2020 18:08:50,7,21.38C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.39,
03/06/2020 18:09:00,8,21.38C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.57,
03/06/2020 18:09:10,9,21.38C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.73,
03/06/2020 18:09:20,10,21.44C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.86,
03/06/2020 18:09:30,11,21.5C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.98,
03/06/2020 18:09:40,12,21.56C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.08,
03/06/2020 18:09:50,13,21.69C,100%,100.0%,0.33Hz,0.12 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.03,
03/06/2020 18:10:00,14,21.81C,100%,100.0%,0.33Hz,0.12 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.4,
03/06/2020 18:10:10,15,22.0C,100%,100.0%,0.33Hz,0.19 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.57,
03/06/2020 18:10:20,16,22.25C,100%,100.0%,0.33Hz,0.25 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.72,
03/06/2020 18:10:30,17,22.5C,100%,100.0%,0.33Hz,0.25 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.84,
03/06/2020 18:10:40,18,22.75C,100%,100.0%,0.33Hz,0.25 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.36,
03/06/2020 18:10:50,19,23.06C,100%,100.0%,0.33Hz,0.31 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.57,
03/06/2020 18:11:00,20,23.62C,100%,100.0%,0.33Hz,0.56 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.72,
03/06/2020 18:11:10,21,23.81C,100%,100.0%,0.33Hz,0.19 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.85,
03/06/2020 18:11:20,22,24.12C,100%,100.0%,0.33Hz,0.31 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.95,
03/06/2020 18:11:30,23,24.5C,100%,100.0%,0.33Hz,0.38 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.04,
03/06/2020 18:11:40,24,24.94C,100%,100.0%,0.33Hz,0.44 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.12,
03/06/2020 18:11:50,25,25.25C,100%,100.0%,0.33Hz,0.31 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.2,
03/06/2020 18:12:00,26,25.62C,100%,100.0%,0.33Hz,0.38 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.26,
03/06/2020 18:12:10,27,26.0C,100%,100.0%,0.33Hz,0.38 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.3,
03/06/2020 18:12:20,28,26.5C,100%,100.0%,0.33Hz,0.5 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.33,
03/06/2020 18:12:30,29,26.94C,100%,100.0%,0.33Hz,0.44 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.38,
03/06/2020 18:12:40,30,27.38C,100%,100.0%,0.33Hz,0.44 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.4,
03/06/2020 18:12:50,31,27.75C,100%,100.0%,0.33Hz,0.38 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.36,
03/06/2020 18:13:00,32,28.12C,100%,100.0%,0.33Hz,0.38 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.55,
03/06/2020 18:13:10,33,28.62C,100%,100.0%,0.33Hz,0.5 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.71,
03/06/2020 18:13:20,34,29.06C,100%,100.0%,0.33Hz,0.44 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.85,
03/06/2020 18:13:30,35,29.62C,100%,100.0%,0.33Hz,0.56 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.96,
