Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,
13/12/2019 10:29:59,0,20.69C,100%,100.0%,0.33Hz,0.69C,0,
13/12/2019 10:30:09,1,20.75C,100%,100.0%,0.33Hz,0.06C,0,
13/12/2019 10:30:42,2,20.75C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:30:51,3,20.69C,100%,100.0%,0.33Hz,-0.06C,0,
13/12/2019 10:30:59,4,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:31:08,5,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:31:17,6,20.75C,100%,100.0%,0.33Hz,0.06C,0,
13/12/2019 10:31:26,7,20.69C,100%,100.0%,0.33Hz,-0.06C,0,
13/12/2019 10:31:36,8,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:31:45,9,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:31:54,10,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:32:03,11,20.75C,100%,100.0%,0.33Hz,0.06C,0,
13/12/2019 10:32:13,12,20.75C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:32:22,13,20.69C,100%,100.0%,0.33Hz,-0.06C,0,
13/12/2019 10:32:31,14,20.75C,100%,100.0%,0.33Hz,0.06C,0,
13/12/2019 10:32:41,15,20.69C,100%,100.0%,0.33Hz,-0.06C,0,
13/12/2019 10:32:50,16,20.75C,100%,100.0%,0.33Hz,0.06C,0,
13/12/2019 10:32:59,17,20.75C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:33:09,18,20.69C,100%,100.0%,0.33Hz,-0.06C,0,
13/12/2019 10:33:18,19,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:33:28,20,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:33:37,21,20.75C,100%,100.0%,0.33Hz,0.06C,0,
13/12/2019 10:33:47,22,20.69C,100%,100.0%,0.33Hz,-0.06C,0,
13/12/2019 10:33:57,23,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:34:06,24,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:34:16,25,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:34:26,26,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:34:35,27,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:34:45,28,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:34:55,29,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:35:04,30,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:35:14,31,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:35:24,32,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:35:34,33,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:35:43,34,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:35:53,35,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:36:03,36,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:36:13,37,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:36:22,38,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:36:32,39,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:36:42,40,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:36:52,41,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:37:02,42,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:37:12,43,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:37:22,44,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:37:31,45,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:37:41,46,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:37:51,47,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:38:01,48,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:38:11,49,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:38:21,50,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:38:31,51,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:38:41,52,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:38:51,53,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:39:00,54,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:39:10,55,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:39:20,56,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:39:30,57,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:39:40,58,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:39:50,59,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:40:00,60,20.69C,100%,100.0%,0.33Hz,0.0C,0,
13/12/2019 10:40:10,61,20.69C,100%,100.0%,0.33Hz,0.0C,0,
