Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,
12/12/2019 16:42:14,0,73.5C,15.6%,32.5%,0.33Hz,53.5C,0,
12/12/2019 16:42:24,1,73.62C,14.8%,31.9%,0.33Hz,0.12C,0,
12/12/2019 16:42:34,2,73.75C,14.1%,31.2%,0.33Hz,0.12C,0,
12/12/2019 16:42:44,3,73.88C,13.3%,30.6%,0.33Hz,0.12C,0,
12/12/2019 16:42:54,4,74.06C,12.1%,29.7%,0.33Hz,0.19C,0,
12/12/2019 16:43:04,5,74.06C,12.1%,29.7%,0.33Hz,0.0C,0,
12/12/2019 16:43:14,6,74.19C,11.3%,29.1%,0.33Hz,0.12C,0,
12/12/2019 16:43:24,7,74.38C,10.2%,28.1%,0.33Hz,0.19C,0,
12/12/2019 16:43:34,8,74.38C,10.2%,28.1%,0.33Hz,0.0C,0,
12/12/2019 16:43:44,9,74.56C,9.0%,27.2%,0.33Hz,0.19C,0,
12/12/2019 16:43:54,10,74.62C,8.6%,26.9%,0.33Hz,0.06C,0,
12/12/2019 16:44:04,11,74.62C,8.6%,26.9%,0.33Hz,0.0C,0,
12/12/2019 16:44:14,12,74.69C,8.2%,26.6%,0.33Hz,0.06C,0,
12/12/2019 16:44:24,13,74.62C,8.6%,26.9%,0.33Hz,-0.06C,0,
12/12/2019 16:44:34,14,74.62C,8.6%,26.9%,0.33Hz,0.0C,0,
12/12/2019 16:44:44,15,74.62C,8.6%,26.9%,0.33Hz,0.0C,0,
12/12/2019 16:44:54,16,74.69C,8.2%,26.6%,0.33Hz,0.06C,0,
12/12/2019 16:45:04,17,74.75C,7.8%,26.2%,0.33Hz,0.06C,0,
12/12/2019 16:45:14,18,74.81C,7.4%,25.9%,0.33Hz,0.06C,0,
12/12/2019 16:45:24,19,74.81C,7.4%,25.9%,0.33Hz,0.0C,0,
12/12/2019 16:45:34,20,74.88C,7.0%,25.6%,0.33Hz,0.06C,0,
12/12/2019 16:45:44,21,74.88C,7.0%,25.6%,0.33Hz,0.0C,0,
12/12/2019 16:45:54,22,74.94C,6.6%,25.3%,0.33Hz,0.06C,0,
12/12/2019 16:46:04,23,74.94C,6.6%,25.3%,0.33Hz,0.0C,0,
12/12/2019 16:46:14,24,74.94C,6.6%,25.3%,0.33Hz,0.0C,0,
12/12/2019 16:46:24,25,74.88C,7.0%,25.6%,0.33Hz,-0.06C,0,
12/12/2019 16:46:34,26,74.94C,6.6%,25.3%,0.33Hz,0.06C,0,
12/12/2019 16:46:44,27,74.88C,7.0%,25.6%,0.33Hz,-0.06C,0,
12/12/2019 16:46:54,28,74.88C,7.0%,25.6%,0.33Hz,0.0C,0,
12/12/2019 16:47:04,29,75.0C,6.2%,25.0%,0.33Hz,0.12C,0,
12/12/2019 16:47:14,30,74.88C,7.0%,25.6%,0.33Hz,-0.12C,0,
