Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,
12/12/2019 13:36:01,0,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:36:11,1,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:36:21,2,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:36:31,3,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:36:41,4,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:36:51,5,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:37:01,6,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:37:11,7,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:37:21,8,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:37:31,9,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:37:41,10,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:37:51,11,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:38:01,12,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:38:11,13,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:38:21,14,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:38:31,15,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:38:41,16,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:38:51,17,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:39:01,18,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:39:11,19,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:39:21,20,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:39:31,21,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:39:41,22,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:39:51,23,21.25C,100%,100.0%,4.0Hz,
