Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,SDLC,
12/12/2019 15:24:44,0,69.375C,0%,0%,0,1,
12/12/2019 15:24:54,1,69.687C,0%,0%,0,1,
12/12/2019 15:25:04,2,70.062C,0%,0%,0,1,
12/12/2019 15:25:14,3,70.312C,0%,0%,0,1,
12/12/2019 15:25:24,4,70.562C,0%,0%,0,1,
12/12/2019 15:25:34,5,70.812C,0%,0%,0,1,
12/12/2019 15:25:44,6,70.937C,0%,0%,0,1,
12/12/2019 15:25:54,7,71.125C,0%,0%,0,1,
12/12/2019 15:26:04,8,71.25C,0%,0%,0,1,
12/12/2019 15:26:14,9,71.312C,0%,0%,0,1,
12/12/2019 15:26:24,10,71.375C,0%,0%,0,1,
12/12/2019 15:26:34,11,71.437C,0%,0%,0,1,
12/12/2019 15:26:44,12,71.5C,0%,0%,0,1,
12/12/2019 15:26:54,13,71.125C,0%,0%,0,1,
12/12/2019 15:27:04,14,70.812C,0%,0%,0,1,
12/12/2019 15:27:14,15,70.437C,0%,0%,0,1,
12/12/2019 15:27:24,16,70.187C,0%,0%,0,1,
12/12/2019 15:27:34,17,69.937C,0%,0%,0,1,
12/12/2019 15:27:44,18,69.625C,0%,0%,0,1,
12/12/2019 15:27:54,19,69.437C,0%,0%,0,1,
12/12/2019 15:28:04,20,69.312C,0%,0%,0,1,
12/12/2019 15:28:14,21,69.125C,0%,0%,0,1,
12/12/2019 15:28:24,22,69.0C,0%,0%,0,1,
12/12/2019 15:28:34,23,68.937C,0%,0%,0,1,
12/12/2019 15:28:44,24,68.75C,0%,0%,0,1,
12/12/2019 15:28:54,25,68.687C,0%,0%,0,1,
12/12/2019 15:29:04,26,68.5C,0%,0%,0,1,
12/12/2019 15:29:14,27,68.437C,0%,0%,0,1,
12/12/2019 15:29:24,28,68.312C,0%,0%,0,1,
12/12/2019 15:29:34,29,68.187C,0%,0%,0,1,
