Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,SDLC,
12/12/2019 15:50:58,0,71.0C,33.3%,31.7%,0.33Hz,0,
12/12/2019 15:51:08,1,70.937C,34.4%,32.0%,0.33Hz,0,
12/12/2019 15:51:18,2,70.875C,35.4%,32.4%,0.33Hz,0,
12/12/2019 15:51:28,3,70.75C,37.5%,33.1%,0.33Hz,0,
12/12/2019 15:51:38,4,70.687C,38.6%,33.5%,0.33Hz,0,
12/12/2019 15:51:48,5,70.687C,38.6%,33.5%,0.33Hz,0,
12/12/2019 15:51:58,6,70.625C,39.6%,33.9%,0.33Hz,0,
12/12/2019 15:52:08,7,70.625C,39.6%,33.9%,0.33Hz,0,
12/12/2019 15:52:18,8,70.562C,40.6%,34.2%,0.33Hz,0,
12/12/2019 15:52:28,9,70.562C,40.6%,34.2%,0.33Hz,0,
12/12/2019 15:52:38,10,70.5C,41.7%,34.6%,0.33Hz,0,
12/12/2019 15:52:48,11,70.437C,42.7%,35.0%,0.33Hz,0,
12/12/2019 15:52:58,12,70.437C,42.7%,35.0%,0.33Hz,0,
