Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,Debug Message,
15/12/2019 16:31:40,0,26.19C,100%,100.0%,0.33Hz,6.19C,0,Not Yet,
15/12/2019 16:31:50,1,26.5C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:32:00,2,27.06C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
15/12/2019 16:32:10,3,27.5C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:32:20,4,27.88C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:32:31,5,28.31C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:32:41,6,28.88C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
15/12/2019 16:32:51,7,29.31C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:33:01,8,29.81C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:33:11,9,30.19C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:33:21,10,30.62C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:33:31,11,30.94C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:33:41,12,31.56C,100%,100.0%,0.33Hz,0.62C,0,Not Yet,
15/12/2019 16:33:51,13,32.12C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
15/12/2019 16:34:01,14,32.5C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:34:11,15,32.94C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:34:21,16,32.94C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:34:31,17,33.75C,100%,100.0%,0.33Hz,0.81C,0,Not Yet,
15/12/2019 16:34:41,18,34.12C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:34:51,19,34.62C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:35:01,20,35.19C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
15/12/2019 16:35:11,21,35.69C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:35:21,22,36.0C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:35:31,23,36.5C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:35:41,24,36.94C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:35:51,25,37.38C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:36:01,26,37.75C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:36:11,27,38.25C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:36:21,28,38.75C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:36:31,29,39.06C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:36:41,30,39.56C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:36:51,31,40.0C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:37:01,32,40.38C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:37:11,33,40.81C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:37:21,34,41.31C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:37:31,35,41.75C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:37:41,36,42.31C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
15/12/2019 16:37:51,37,42.75C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:38:01,38,43.25C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:38:11,39,43.75C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:38:21,40,44.06C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:38:31,41,44.56C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:38:41,42,44.81C,100%,100.0%,0.33Hz,0.25C,0,Not Yet,
15/12/2019 16:38:51,43,45.19C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:39:01,44,45.62C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:39:11,45,46.12C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:39:21,46,46.44C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:39:31,47,46.88C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:39:41,48,47.25C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:39:51,49,47.62C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:40:01,50,47.94C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:40:11,51,48.31C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:40:21,52,48.62C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:40:31,53,49.06C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:40:41,54,49.38C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:40:51,55,49.88C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:41:01,56,50.31C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:41:11,57,50.88C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
15/12/2019 16:41:21,58,51.25C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:41:31,59,51.69C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:41:41,60,51.94C,100%,100.0%,0.33Hz,0.25C,0,Not Yet,
15/12/2019 16:41:51,61,52.31C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:42:01,62,52.75C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:42:11,63,53.12C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:42:21,64,53.5C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:42:31,65,53.88C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:42:41,66,54.25C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:42:51,67,54.69C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:43:01,68,55.0C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
