Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,
12/12/2019 14:16:42,0,24.5C,100%,50.0%,0.3Hz,
12/12/2019 14:16:53,1,24.562C,100%,50.0%,0.3Hz,
12/12/2019 14:17:03,2,24.625C,100%,50.0%,0.3Hz,
12/12/2019 14:17:13,3,24.687C,100%,50.0%,0.3Hz,
12/12/2019 14:17:23,4,24.75C,100%,50.0%,0.3Hz,
12/12/2019 14:17:33,5,24.812C,100%,50.0%,0.3Hz,
12/12/2019 14:17:43,6,24.875C,100%,50.0%,0.3Hz,
12/12/2019 14:17:53,7,24.875C,100%,50.0%,0.3Hz,
12/12/2019 14:18:03,8,24.937C,100%,50.0%,0.3Hz,
12/12/2019 14:18:13,9,25.0C,100%,50.0%,0.3Hz,
12/12/2019 14:18:23,10,25.062C,100%,50.0%,0.3Hz,
12/12/2019 14:18:33,11,25.125C,100%,50.0%,0.3Hz,
12/12/2019 14:18:43,12,25.187C,100%,50.0%,0.3Hz,
12/12/2019 14:18:53,13,25.25C,100%,50.0%,0.3Hz,
12/12/2019 14:19:03,14,25.312C,100%,50.0%,0.3Hz,
12/12/2019 14:19:13,15,25.437C,100%,50.0%,0.3Hz,
12/12/2019 14:19:23,16,25.5C,100%,50.0%,0.3Hz,
12/12/2019 14:19:33,17,25.625C,100%,50.0%,0.3Hz,
12/12/2019 14:19:43,18,25.687C,100%,50.0%,0.3Hz,
12/12/2019 14:19:53,19,25.812C,100%,50.0%,0.3Hz,
12/12/2019 14:20:03,20,25.875C,100%,50.0%,0.3Hz,
12/12/2019 14:20:13,21,26.062C,99.1%,49.6%,0.3Hz,
12/12/2019 14:20:23,22,26.25C,96.4%,48.2%,0.3Hz,
12/12/2019 14:20:33,23,26.25C,96.4%,48.2%,0.3Hz,
12/12/2019 14:20:43,24,26.625C,91.1%,45.5%,0.3Hz,
12/12/2019 14:20:53,25,26.812C,88.4%,44.2%,0.3Hz,
12/12/2019 14:21:03,26,27.062C,84.8%,42.4%,0.3Hz,
12/12/2019 14:21:13,27,27.25C,82.1%,41.1%,0.3Hz,
12/12/2019 14:21:23,28,27.5C,78.6%,39.3%,0.3Hz,
12/12/2019 14:21:33,29,27.687C,75.9%,37.9%,0.3Hz,
12/12/2019 14:21:43,30,27.937C,72.3%,36.2%,0.3Hz,
12/12/2019 14:21:53,31,28.25C,67.9%,33.9%,0.3Hz,
12/12/2019 14:22:03,32,28.5C,64.3%,32.1%,0.3Hz,
12/12/2019 14:22:13,33,28.875C,58.9%,29.5%,0.3Hz,
12/12/2019 14:22:23,34,29.062C,56.3%,28.1%,0.3Hz,
12/12/2019 14:22:33,35,29.375C,51.8%,25.9%,0.3Hz,
12/12/2019 14:22:43,36,29.625C,48.2%,24.1%,0.3Hz,
12/12/2019 14:22:53,37,30.0C,42.9%,21.4%,0.3Hz,
12/12/2019 14:23:03,38,30.25C,39.3%,19.6%,0.3Hz,
12/12/2019 14:23:13,39,30.562C,34.8%,17.4%,0.3Hz,
12/12/2019 14:23:23,40,30.812C,31.3%,15.6%,0.3Hz,
12/12/2019 14:23:33,41,31.0C,28.6%,14.3%,0.3Hz,
12/12/2019 14:23:43,42,31.25C,25.0%,12.5%,0.3Hz,
12/12/2019 14:23:53,43,31.437C,22.3%,11.2%,0.3Hz,
12/12/2019 14:24:03,44,31.687C,18.8%,9.4%,0.3Hz,
12/12/2019 14:24:13,45,31.812C,17.0%,8.5%,0.3Hz,
12/12/2019 14:24:23,46,32.062C,13.4%,6.7%,0.3Hz,
12/12/2019 14:24:33,47,32.312C,9.8%,4.9%,0.3Hz,
12/12/2019 14:24:43,48,32.562C,6.3%,3.1%,0.3Hz,
12/12/2019 14:24:53,49,32.625C,5.4%,2.7%,0.3Hz,
12/12/2019 14:25:03,50,32.75C,3.6%,1.8%,0.3Hz,
12/12/2019 14:25:13,51,32.875C,1.8%,0.9%,0.3Hz,
12/12/2019 14:25:23,52,33.0C,0.0%,0.0%,0.3Hz,
12/12/2019 14:25:33,53,33.125C,0%,0%,0.3Hz,
12/12/2019 14:25:43,54,33.187C,0%,0%,0.3Hz,
12/12/2019 14:25:53,55,33.312C,0%,0%,0.3Hz,
12/12/2019 14:26:03,56,33.312C,0%,0%,0.3Hz,
12/12/2019 14:26:13,57,33.5C,0%,0%,0.3Hz,
12/12/2019 14:26:23,58,33.625C,0%,0%,0.3Hz,
12/12/2019 14:26:33,59,33.75C,0%,0%,0.3Hz,
12/12/2019 14:26:43,60,33.875C,0%,0%,0.3Hz,
12/12/2019 14:26:53,61,33.937C,0%,0%,0.3Hz,
12/12/2019 14:27:03,62,33.937C,0%,0%,0.3Hz,
