Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,Debug Message,
13/12/2019 11:25:32,0,40.12C,100%,100.0%,0.33Hz,20.12C,0,Reached,
13/12/2019 11:25:42,1,40.06C,100%,100.0%,0.33Hz,-0.06C,1,Reached,
13/12/2019 11:25:52,2,40.0C,100%,100.0%,0.33Hz,-0.06C,2,Reached,
13/12/2019 11:26:02,3,40.0C,100%,100.0%,0.33Hz,0.0C,2,Reached,
13/12/2019 11:26:12,4,39.94C,100%,100.0%,0.33Hz,-0.06C,3,Reached,
13/12/2019 11:26:22,5,39.88C,100%,100.0%,0.33Hz,-0.06C,4,Reached,
13/12/2019 11:26:32,6,39.88C,100%,100.0%,0.33Hz,0.0C,4,Reached,
13/12/2019 11:26:42,7,39.81C,100%,100.0%,0.33Hz,-0.06C,5,Reached,
13/12/2019 11:26:52,8,39.81C,100%,100.0%,0.33Hz,0.0C,5,Reached,
13/12/2019 11:27:02,9,39.75C,100%,100.0%,0.33Hz,-0.06C,6,Reached,
