Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,
12/12/2019 13:32:38,0,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:32:48,1,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:32:58,2,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:33:08,3,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:33:18,4,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:33:28,5,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:33:38,6,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:33:48,7,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:33:58,8,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:34:08,9,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:34:18,10,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:34:28,11,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:34:38,12,21.312C,100%,100.0%,4.0Hz,
12/12/2019 13:34:48,13,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:34:58,14,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:35:08,15,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:35:18,16,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:35:28,17,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:35:38,18,21.25C,100%,100.0%,4.0Hz,
12/12/2019 13:35:48,19,21.25C,100%,100.0%,4.0Hz,
