Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,
12/12/2019 13:20:49,0,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:20:59,1,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:21:09,2,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:21:19,3,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:21:29,4,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:21:39,5,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:21:49,6,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:21:59,7,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:22:09,8,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:22:19,9,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:22:29,10,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:22:39,11,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:22:49,12,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:22:59,13,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:23:09,14,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:23:19,15,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:23:29,16,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:23:39,17,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:23:49,18,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:23:59,19,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:24:09,20,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:24:19,21,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:24:29,22,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:24:39,23,-100%,100%,100.0%,4.0Hz,
12/12/2019 13:24:49,24,-100%,100%,100.0%,4.0Hz,
