Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,
12/12/2019 14:00:33,0,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:00:43,1,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:00:53,2,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:01:03,3,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:01:13,4,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:01:23,5,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:01:33,6,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:01:43,7,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:01:53,8,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:02:03,9,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:02:13,10,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:02:23,11,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:02:33,12,29C,28.6%,8.6%,2.6Hz,
12/12/2019 14:02:43,13,29C,28.6%,8.6%,2.6Hz,
