Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,
12/12/2019 17:40:42,0,67.44C,65.6%,72.5%,0.33Hz,47.44C,0,
12/12/2019 17:40:52,1,67.38C,66.2%,73.0%,0.33Hz,-0.06C,0,
12/12/2019 17:41:02,2,67.38C,66.2%,73.0%,0.33Hz,0.0C,0,
12/12/2019 17:41:12,3,67.38C,66.2%,73.0%,0.33Hz,0.0C,0,
12/12/2019 17:41:22,4,67.31C,66.9%,73.5%,0.33Hz,-0.06C,0,
12/12/2019 17:41:32,5,67.31C,66.9%,73.5%,0.33Hz,0.0C,0,
12/12/2019 17:41:42,6,67.25C,67.5%,74.0%,0.33Hz,-0.06C,0,
12/12/2019 17:41:52,7,67.25C,67.5%,74.0%,0.33Hz,0.0C,0,
12/12/2019 17:42:02,8,67.25C,67.5%,74.0%,0.33Hz,0.0C,0,
12/12/2019 17:42:12,9,67.19C,68.1%,74.5%,0.33Hz,-0.06C,0,
12/12/2019 17:42:22,10,67.25C,67.5%,74.0%,0.33Hz,0.06C,0,
12/12/2019 17:42:32,11,67.19C,68.1%,74.5%,0.33Hz,-0.06C,0,
12/12/2019 17:42:42,12,67.19C,68.1%,74.5%,0.33Hz,0.0C,0,
12/12/2019 17:42:52,13,67.0C,70.0%,76.0%,0.33Hz,-0.19C,0,
12/12/2019 17:43:02,14,66.88C,71.2%,77.0%,0.33Hz,-0.12C,0,
12/12/2019 17:43:12,15,66.81C,71.9%,77.5%,0.33Hz,-0.06C,0,
12/12/2019 17:43:22,16,66.81C,71.9%,77.5%,0.33Hz,0.0C,0,
12/12/2019 17:43:32,17,66.81C,71.9%,77.5%,0.33Hz,0.0C,0,
12/12/2019 17:43:42,18,66.88C,71.2%,77.0%,0.33Hz,0.06C,0,
12/12/2019 17:43:52,19,66.88C,71.2%,77.0%,0.33Hz,0.0C,0,
12/12/2019 17:44:02,20,66.88C,71.2%,77.0%,0.33Hz,0.0C,0,
12/12/2019 17:44:12,21,67.0C,70.0%,76.0%,0.33Hz,0.12C,0,
12/12/2019 17:44:22,22,67.0C,70.0%,76.0%,0.33Hz,0.0C,0,
12/12/2019 17:44:32,23,67.06C,69.4%,75.5%,0.33Hz,0.06C,0,
12/12/2019 17:44:42,24,67.19C,68.1%,74.5%,0.33Hz,0.12C,0,
12/12/2019 17:44:52,25,67.19C,68.1%,74.5%,0.33Hz,0.0C,0,
12/12/2019 17:45:02,26,67.25C,67.5%,74.0%,0.33Hz,0.06C,0,
12/12/2019 17:45:12,27,67.31C,66.9%,73.5%,0.33Hz,0.06C,0,
12/12/2019 17:45:22,28,67.38C,66.2%,73.0%,0.33Hz,0.06C,0,
12/12/2019 17:45:32,29,67.5C,65.0%,72.0%,0.33Hz,0.12C,0,
12/12/2019 17:45:42,30,67.62C,63.8%,71.0%,0.33Hz,0.12C,0,
12/12/2019 17:45:52,31,67.75C,62.5%,70.0%,0.33Hz,0.12C,0,
12/12/2019 17:46:02,32,67.81C,61.9%,69.5%,0.33Hz,0.06C,0,
12/12/2019 17:46:12,33,68.0C,60.0%,68.0%,0.33Hz,0.19C,0,
12/12/2019 17:46:22,34,68.19C,58.1%,66.5%,0.33Hz,0.19C,0,
12/12/2019 17:46:32,35,68.31C,56.9%,65.5%,0.33Hz,0.12C,0,
12/12/2019 17:46:42,36,68.44C,55.6%,64.5%,0.33Hz,0.12C,0,
12/12/2019 17:46:52,37,68.56C,54.4%,63.5%,0.33Hz,0.12C,0,
12/12/2019 17:47:02,38,68.69C,53.1%,62.5%,0.33Hz,0.12C,0,
12/12/2019 17:47:12,39,68.88C,51.2%,61.0%,0.33Hz,0.19C,0,
12/12/2019 17:47:22,40,69.0C,50.0%,60.0%,0.33Hz,0.12C,0,
12/12/2019 17:47:32,41,69.12C,48.8%,59.0%,0.33Hz,0.12C,0,
12/12/2019 17:47:42,42,69.19C,48.1%,58.5%,0.33Hz,0.06C,0,
12/12/2019 17:47:52,43,69.38C,46.2%,57.0%,0.33Hz,0.19C,0,
12/12/2019 17:48:02,44,69.5C,45.0%,56.0%,0.33Hz,0.12C,0,
12/12/2019 17:48:12,45,69.62C,43.8%,55.0%,0.33Hz,0.12C,0,
12/12/2019 17:48:22,46,69.75C,42.5%,54.0%,0.33Hz,0.12C,0,
12/12/2019 17:48:32,47,69.94C,40.6%,52.5%,0.33Hz,0.19C,0,
12/12/2019 17:48:42,48,70.06C,39.4%,51.5%,0.33Hz,0.12C,0,
12/12/2019 17:48:52,49,70.19C,38.1%,50.5%,0.33Hz,0.12C,0,
12/12/2019 17:49:02,50,70.31C,36.9%,49.5%,0.33Hz,0.12C,0,
12/12/2019 17:49:12,51,70.44C,35.6%,48.5%,0.33Hz,0.12C,0,
12/12/2019 17:49:22,52,70.56C,34.4%,47.5%,0.33Hz,0.12C,0,
12/12/2019 17:49:32,53,70.69C,33.1%,46.5%,0.33Hz,0.12C,0,
12/12/2019 17:49:42,54,69.88C,41.2%,53.0%,0.33Hz,-0.81C,0,
12/12/2019 17:49:52,55,69.06C,49.4%,59.5%,0.33Hz,-0.81C,0,
12/12/2019 17:50:02,56,68.44C,55.6%,64.5%,0.33Hz,-0.62C,0,
12/12/2019 17:50:12,57,67.81C,61.9%,69.5%,0.33Hz,-0.62C,0,
12/12/2019 17:50:22,58,67.31C,66.9%,73.5%,0.33Hz,-0.5C,0,
12/12/2019 17:50:32,59,66.94C,70.6%,76.5%,0.33Hz,-0.38C,0,
12/12/2019 17:50:42,60,66.56C,74.4%,79.5%,0.33Hz,-0.38C,0,
12/12/2019 17:50:52,61,66.25C,77.5%,82.0%,0.33Hz,-0.31C,0,
12/12/2019 17:51:02,62,66.25C,77.5%,82.0%,0.33Hz,0.0C,0,
12/12/2019 17:51:12,63,66.38C,76.2%,81.0%,0.33Hz,0.12C,0,
12/12/2019 17:51:22,64,66.44C,75.6%,80.5%,0.33Hz,0.06C,0,
12/12/2019 17:51:32,65,66.56C,74.4%,79.5%,0.33Hz,0.12C,0,
12/12/2019 17:51:42,66,66.62C,73.8%,79.0%,0.33Hz,0.06C,0,
12/12/2019 17:51:52,67,66.69C,73.1%,78.5%,0.33Hz,0.06C,0,
12/12/2019 17:52:02,68,66.75C,72.5%,78.0%,0.33Hz,0.06C,0,
12/12/2019 17:52:12,69,66.81C,71.9%,77.5%,0.33Hz,0.06C,0,
12/12/2019 17:52:22,70,66.81C,71.9%,77.5%,0.33Hz,0.0C,0,
12/12/2019 17:52:32,71,66.88C,71.2%,77.0%,0.33Hz,0.06C,0,
12/12/2019 17:52:42,72,66.94C,70.6%,76.5%,0.33Hz,0.06C,0,
12/12/2019 17:52:52,73,67.0C,70.0%,76.0%,0.33Hz,0.06C,0,
12/12/2019 17:53:02,74,67.06C,69.4%,75.5%,0.33Hz,0.06C,0,
12/12/2019 17:53:12,75,67.0C,70.0%,76.0%,0.33Hz,-0.06C,0,
12/12/2019 17:53:22,76,67.0C,70.0%,76.0%,0.33Hz,0.0C,0,
12/12/2019 17:53:32,77,66.0C,80.0%,84.0%,0.33Hz,-1.0C,0,
12/12/2019 17:53:42,78,64.94C,90.6%,92.5%,0.33Hz,-1.06C,0,
12/12/2019 17:53:52,79,63.94C,100%,100.0%,0.33Hz,-1.0C,1,
12/12/2019 17:54:02,80,63.06C,100%,100.0%,0.33Hz,-0.88C,2,
12/12/2019 17:54:12,81,62.44C,100%,100.0%,0.33Hz,-0.62C,3,
12/12/2019 17:54:22,82,62.0C,100%,100.0%,0.33Hz,-0.44C,4,
12/12/2019 17:54:32,83,61.12C,100%,100.0%,0.33Hz,-0.88C,5,
