Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,Debug Message,
15/12/2019 16:43:05,0,55.25C,100%,100.0%,0.33Hz,35.25C,0,Not Yet,
15/12/2019 16:43:15,1,55.56C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:43:25,2,56.06C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:43:35,3,56.5C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:43:45,4,56.94C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:43:55,5,57.25C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:44:05,6,57.56C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:44:15,7,57.94C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:44:25,8,58.12C,100%,100.0%,0.33Hz,0.19C,0,Not Yet,
15/12/2019 16:44:35,9,58.5C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:44:45,10,58.81C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:44:55,11,59.25C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:45:05,12,59.62C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:45:15,13,59.94C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:45:25,14,60.31C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:45:35,15,60.5C,100%,100.0%,0.33Hz,0.19C,0,Not Yet,
15/12/2019 16:45:45,16,61.0C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:45:56,17,61.38C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:46:06,18,61.69C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:46:15,19,62.06C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:46:26,20,62.19C,100%,100.0%,0.33Hz,0.12C,0,Not Yet,
15/12/2019 16:46:36,21,62.5C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:46:46,22,62.75C,100%,100.0%,0.33Hz,0.25C,0,Not Yet,
15/12/2019 16:46:56,23,63.12C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
15/12/2019 16:47:06,24,63.62C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:47:16,25,64.06C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:47:26,26,64.31C,100%,100.0%,0.33Hz,0.25C,0,Not Yet,
15/12/2019 16:47:36,27,64.62C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:47:46,28,64.81C,100%,100.0%,0.33Hz,0.19C,0,Not Yet,
