Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,SDLC,
12/12/2019 15:47:40,0,72.125C,14.6%,25.1%,0,1,
12/12/2019 15:47:50,1,72.062C,15.6%,25.5%,0,1,
12/12/2019 15:48:00,2,71.937C,17.7%,26.2%,0,1,
12/12/2019 15:48:10,3,71.875C,18.8%,26.6%,0,1,
12/12/2019 15:48:20,4,71.875C,18.8%,26.6%,0,1,
12/12/2019 15:48:30,5,71.875C,18.8%,26.6%,0,1,
12/12/2019 15:48:40,6,71.812C,19.8%,26.9%,0,1,
12/12/2019 15:48:50,7,71.687C,21.9%,27.7%,0,1,
12/12/2019 15:49:00,8,71.687C,21.9%,27.7%,0,1,
12/12/2019 15:49:10,9,71.562C,24.0%,28.4%,0,1,
12/12/2019 15:49:20,10,71.562C,24.0%,28.4%,0,1,
12/12/2019 15:49:30,11,71.5C,25.0%,28.8%,0,1,
12/12/2019 15:49:40,12,71.437C,26.1%,29.1%,0,1,
