Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,Debug Message,
13/12/2019 11:22:47,0,40.81C,100%,100.0%,0.33Hz,20.81C,0,Reached,
13/12/2019 11:22:57,1,40.75C,100%,100.0%,0.33Hz,-0.06C,1,Reached,
13/12/2019 11:23:07,2,40.75C,100%,100.0%,0.33Hz,0.0C,0,Reached,
13/12/2019 11:23:17,3,40.69C,100%,100.0%,0.33Hz,-0.06C,1,Reached,
13/12/2019 11:23:27,4,40.62C,100%,100.0%,0.33Hz,-0.06C,1,Reached,
13/12/2019 11:23:37,5,40.62C,100%,100.0%,0.33Hz,0.0C,0,Reached,
13/12/2019 11:23:47,6,40.56C,100%,100.0%,0.33Hz,-0.06C,1,Reached,
13/12/2019 11:23:57,7,40.5C,100%,100.0%,0.33Hz,-0.06C,1,Reached,
13/12/2019 11:24:07,8,40.5C,100%,100.0%,0.33Hz,0.0C,0,Reached,
13/12/2019 11:24:17,9,40.44C,100%,100.0%,0.33Hz,-0.06C,1,Reached,
13/12/2019 11:24:27,10,40.38C,100%,100.0%,0.33Hz,-0.06C,1,Reached,
13/12/2019 11:24:37,11,40.38C,100%,100.0%,0.33Hz,0.0C,0,Reached,
13/12/2019 11:24:47,12,40.31C,100%,100.0%,0.33Hz,-0.06C,1,Reached,
13/12/2019 11:24:57,13,40.25C,100%,100.0%,0.33Hz,-0.06C,1,Reached,
13/12/2019 11:25:07,14,40.25C,100%,100.0%,0.33Hz,0.0C,0,Reached,
