Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,
12/12/2019 16:47:17,0,74.88C,0%,0%,0.33Hz,54.88C,0,
12/12/2019 16:47:27,1,74.75C,0%,0%,0.33Hz,-0.12C,0,
12/12/2019 16:47:37,2,74.75C,0%,0%,0.33Hz,0.0C,0,
12/12/2019 16:47:47,3,74.75C,0%,0%,0.33Hz,0.0C,0,
12/12/2019 16:47:57,4,74.69C,0%,0%,0.33Hz,-0.06C,0,
12/12/2019 16:48:07,5,74.62C,0%,0%,0.33Hz,-0.06C,0,
12/12/2019 16:48:17,6,74.62C,0%,0%,0.33Hz,0.0C,0,
12/12/2019 16:48:27,7,74.56C,0%,0%,0.33Hz,-0.06C,0,
12/12/2019 16:48:37,8,74.5C,0%,0%,0.33Hz,-0.06C,0,
12/12/2019 16:48:47,9,74.44C,0%,0%,0.33Hz,-0.06C,0,
12/12/2019 16:48:57,10,74.38C,0%,0%,0.33Hz,-0.06C,0,
12/12/2019 16:49:07,11,74.25C,0%,0%,0.33Hz,-0.12C,0,
12/12/2019 16:49:17,12,74.25C,0%,0%,0.33Hz,0.0C,0,
12/12/2019 16:49:27,13,74.06C,0%,0%,0.33Hz,-0.19C,0,
12/12/2019 16:49:37,14,73.62C,2.3%,21.9%,0.33Hz,-0.44C,0,
12/12/2019 16:49:47,15,73.25C,4.7%,23.8%,0.33Hz,-0.38C,0,
12/12/2019 16:49:57,16,73.06C,5.9%,24.7%,0.33Hz,-0.19C,0,
12/12/2019 16:50:07,17,72.88C,7.0%,25.6%,0.33Hz,-0.19C,0,
12/12/2019 16:50:17,18,72.75C,7.8%,26.2%,0.33Hz,-0.12C,0,
12/12/2019 16:50:27,19,72.56C,9.0%,27.2%,0.33Hz,-0.19C,0,
12/12/2019 16:50:37,20,72.44C,9.8%,27.8%,0.33Hz,-0.12C,0,
12/12/2019 16:50:47,21,72.31C,10.6%,28.4%,0.33Hz,-0.12C,0,
12/12/2019 16:50:57,22,72.12C,11.7%,29.4%,0.33Hz,-0.19C,0,
