Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,Debug Message,
16/12/2019 10:43:11,0,27C,100%,100.0%,0.33Hz,7C,0,Under Min Temp  Crct : 7.5,
16/12/2019 10:43:13,1,29C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 7.23,
16/12/2019 10:43:15,2,31C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 6.99,
16/12/2019 10:43:17,3,33C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 6.75,
16/12/2019 10:43:19,4,35C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 6.53,
16/12/2019 10:43:21,5,37C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 6.32,
16/12/2019 10:43:23,6,39C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 6.12,
16/12/2019 10:43:25,7,41C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 5.93,
16/12/2019 10:43:27,8,43C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 5.74,
16/12/2019 10:43:29,9,45C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 5.57,
16/12/2019 10:43:31,10,47C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 5.41,
16/12/2019 10:43:33,11,49C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 5.25,
16/12/2019 10:43:35,12,51C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 5.1,
16/12/2019 10:43:37,13,53C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 4.97,
16/12/2019 10:43:39,14,55C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 4.83,
16/12/2019 10:43:41,15,57C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 4.7,
16/12/2019 10:43:43,16,59C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 4.58,
16/12/2019 10:43:45,17,61C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 4.39,
16/12/2019 10:43:47,18,63C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 4.28,
16/12/2019 10:43:49,19,65C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 4.19,
16/12/2019 10:43:51,20,67C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 4.09,
16/12/2019 10:43:53,21,69C,100%,100.0%,0.33Hz,2C,0,Under Min Temp  Crct : 4.0,
16/12/2019 10:43:55,22,71C,90.0%,92.0%,0.33Hz,2C,0,Over Min Temp  Crct : 3.92,
16/12/2019 10:43:57,23,73C,70.0%,76.0%,0.33Hz,2C,0,Over Min Temp  Crct : 3.84,
16/12/2019 10:43:59,24,75C,50.0%,60.0%,0.33Hz,2C,0,Over Min Temp  Crct : 3.76,
16/12/2019 10:44:01,25,77C,30.0%,44.0%,0.33Hz,2C,0,Over Min Temp  Crct : 3.69,
16/12/2019 10:44:03,26,79C,10.0%,28.0%,0.33Hz,2C,0,Over Min Temp  Crct : 3.62,
16/12/2019 10:44:05,27,81C,0%,0%,0.33Hz,2C,0,Over Min Temp  Crct : 3.55,
16/12/2019 10:44:07,28,83C,0%,0%,0.33Hz,2C,0,Over Min Temp  Crct : 3.49,
16/12/2019 10:44:09,29,85C,0%,0%,0.33Hz,2C,0,Over Min Temp  Crct : 3.43,
16/12/2019 10:44:11,30,84C,0%,0%,0.33Hz,-1C,0,Over Min Temp  Crct : 3.38,
16/12/2019 10:44:13,31,83C,0%,0%,0.33Hz,-1C,0,Over Min Temp  Crct : 3.32,
16/12/2019 10:44:15,32,82C,0%,0%,0.33Hz,-1C,0,Over Min Temp  Crct : 3.27,
16/12/2019 10:44:17,33,81C,0%,0%,0.33Hz,-1C,0,Over Min Temp  Crct : 3.22,
16/12/2019 10:44:19,34,80C,0.0%,20.0%,0.33Hz,-1C,0,Over Min Temp  Crct : 3.18,
16/12/2019 10:44:21,35,79C,10.0%,28.0%,0.33Hz,-1C,0,Over Min Temp  Crct : 3.13,
16/12/2019 10:44:23,36,78C,20.0%,36.0%,0.33Hz,-1C,0,Over Min Temp  Crct : 2.99,
16/12/2019 10:44:25,37,77C,30.0%,44.0%,0.33Hz,-1C,0,Over Min Temp  Crct : 2.96,
16/12/2019 10:44:27,38,76C,40.0%,52.0%,0.33Hz,-1C,0,Over Min Temp  Crct : 2.92,
16/12/2019 10:44:29,39,75C,50.0%,60.0%,0.33Hz,-1C,0,Over Min Temp  Crct : 2.79,
16/12/2019 10:44:31,40,74C,60.0%,68.0%,0.33Hz,-1C,0,Over Min Temp  Crct : 2.76,
16/12/2019 10:44:33,41,73C,70.0%,76.0%,0.33Hz,-1C,0,Over Min Temp  Crct : 2.74,
16/12/2019 10:44:35,42,72C,80.0%,84.0%,0.33Hz,-1C,0,Over Min Temp  Crct : 2.72,
16/12/2019 10:44:37,43,71C,90.0%,92.0%,0.33Hz,-1C,0,Over Min Temp  Crct : 2.7,
16/12/2019 10:44:39,44,70C,100.0%,100.0%,0.33Hz,-1C,1,Under Min Temp  Crct : 2.68,
16/12/2019 10:44:41,45,69C,100%,100.0%,0.33Hz,-1C,2,Under Min Temp  Crct : 2.66,
16/12/2019 10:44:43,46,68C,100%,100.0%,0.33Hz,-1C,3,Under Min Temp  Crct : 2.64,
16/12/2019 10:44:45,47,67C,100%,100.0%,0.33Hz,-1C,4,Under Min Temp  Crct : 2.62,
16/12/2019 10:44:47,48,66C,100%,100.0%,0.33Hz,-1C,5,Under Min Temp  Crct : 2.6,
16/12/2019 10:44:49,49,65C,100%,100.0%,0.33Hz,-1C,6,Under Min Temp  Crct : 2.58,
16/12/2019 10:44:51,50,64C,100%,100.0%,0.33Hz,-1C,7,Under Min Temp  Crct : 2.57,
16/12/2019 10:44:53,51,63C,100%,100.0%,0.33Hz,-1C,8,Under Min Temp  Crct : 2.55,
