Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,SDLC,
12/12/2019 16:35:24,0,60.19C,98.8%,99.1%,0.33Hz,0,
12/12/2019 16:35:34,1,60.5C,96.9%,97.5%,0.33Hz,0,
12/12/2019 16:35:44,2,60.75C,95.3%,96.2%,0.33Hz,0,
12/12/2019 16:35:54,3,61.12C,93.0%,94.4%,0.33Hz,0,
12/12/2019 16:36:04,4,61.5C,90.6%,92.5%,0.33Hz,0,
12/12/2019 16:36:14,5,61.75C,89.1%,91.2%,0.33Hz,0,
12/12/2019 16:36:24,6,62.06C,87.1%,89.7%,0.33Hz,0,
12/12/2019 16:36:34,7,62.44C,84.8%,87.8%,0.33Hz,0,
12/12/2019 16:36:44,8,62.81C,82.4%,85.9%,0.33Hz,0,
12/12/2019 16:36:54,9,63.12C,80.5%,84.4%,0.33Hz,0,
12/12/2019 16:37:04,10,63.62C,77.3%,81.9%,0.33Hz,0,
12/12/2019 16:37:14,11,64.0C,75.0%,80.0%,0.33Hz,0,
12/12/2019 16:37:24,12,64.38C,72.7%,78.1%,0.33Hz,0,
12/12/2019 16:37:34,13,64.81C,69.9%,75.9%,0.33Hz,0,
12/12/2019 16:37:44,14,65.25C,67.2%,73.8%,0.33Hz,0,
12/12/2019 16:37:54,15,65.69C,64.5%,71.6%,0.33Hz,0,
12/12/2019 16:38:04,16,66.31C,60.6%,68.4%,0.33Hz,0,
12/12/2019 16:38:14,17,66.69C,58.2%,66.6%,0.33Hz,0,
12/12/2019 16:38:24,18,67.12C,55.5%,64.4%,0.33Hz,0,
12/12/2019 16:38:34,19,67.5C,53.1%,62.5%,0.33Hz,0,
12/12/2019 16:38:44,20,67.94C,50.4%,60.3%,0.33Hz,0,
12/12/2019 16:38:54,21,68.38C,47.7%,58.1%,0.33Hz,0,
12/12/2019 16:39:04,22,68.69C,45.7%,56.6%,0.33Hz,0,
12/12/2019 16:39:14,23,69.0C,43.8%,55.0%,0.33Hz,0,
12/12/2019 16:39:24,24,69.44C,41.0%,52.8%,0.33Hz,0,
12/12/2019 16:39:34,25,69.81C,38.7%,50.9%,0.33Hz,0,
12/12/2019 16:39:44,26,70.06C,37.1%,49.7%,0.33Hz,0,
12/12/2019 16:39:54,27,70.31C,35.6%,48.4%,0.33Hz,0,
12/12/2019 16:40:04,28,70.69C,33.2%,46.6%,0.33Hz,0,
12/12/2019 16:40:14,29,70.94C,31.6%,45.3%,0.33Hz,0,
12/12/2019 16:40:24,30,71.19C,30.1%,44.1%,0.33Hz,0,
12/12/2019 16:40:34,31,71.56C,27.7%,42.2%,0.33Hz,0,
12/12/2019 16:40:44,32,71.75C,26.6%,41.2%,0.33Hz,0,
12/12/2019 16:40:54,33,71.94C,25.4%,40.3%,0.33Hz,0,
12/12/2019 16:41:04,34,72.19C,23.8%,39.1%,0.33Hz,0,
12/12/2019 16:41:14,35,72.5C,21.9%,37.5%,0.33Hz,0,
12/12/2019 16:41:24,36,72.62C,21.1%,36.9%,0.33Hz,0,
12/12/2019 16:41:34,37,72.88C,19.5%,35.6%,0.33Hz,0,
12/12/2019 16:41:44,38,73.0C,18.8%,35.0%,0.33Hz,0,
12/12/2019 16:41:54,39,73.19C,17.6%,34.1%,0.33Hz,0,
12/12/2019 16:42:04,40,73.44C,16.0%,32.8%,0.33Hz,0,
