Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,Debug Message,
13/12/2019 10:49:39,0,20.69C,100%,100.0%,0.33Hz,0.69C,0,Not Yet,
13/12/2019 10:49:49,1,20.69C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 10:49:59,2,20.69C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 10:50:09,3,20.69C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 10:50:19,4,20.62C,100%,100.0%,0.33Hz,-0.06C,0,Not Yet,
13/12/2019 10:50:29,5,20.62C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 10:50:39,6,20.62C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 10:50:49,7,20.62C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 10:50:59,8,20.62C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 10:51:09,9,20.62C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 10:51:19,10,20.69C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
13/12/2019 10:51:29,11,20.75C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
13/12/2019 10:51:39,12,20.75C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 10:51:49,13,20.75C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 10:51:59,14,20.81C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
13/12/2019 10:52:09,15,20.94C,100%,100.0%,0.33Hz,0.12C,0,Not Yet,
13/12/2019 10:52:19,16,21.0C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
13/12/2019 10:52:29,17,21.12C,100%,100.0%,0.33Hz,0.12C,0,Not Yet,
13/12/2019 10:52:39,18,21.25C,100%,100.0%,0.33Hz,0.12C,0,Not Yet,
13/12/2019 10:52:49,19,21.44C,100%,100.0%,0.33Hz,0.19C,0,Not Yet,
13/12/2019 10:52:59,20,21.75C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
13/12/2019 10:53:09,21,21.94C,100%,100.0%,0.33Hz,0.19C,0,Not Yet,
13/12/2019 10:53:19,22,22.19C,100%,100.0%,0.33Hz,0.25C,0,Not Yet,
13/12/2019 10:53:29,23,22.38C,100%,100.0%,0.33Hz,0.19C,0,Not Yet,
13/12/2019 10:53:39,24,22.75C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
13/12/2019 10:53:49,25,23.06C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
13/12/2019 10:53:59,26,23.44C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
13/12/2019 10:54:09,27,23.88C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
13/12/2019 10:54:19,28,24.19C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
13/12/2019 10:54:29,29,24.69C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
13/12/2019 10:54:39,30,25.0C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
13/12/2019 10:54:49,31,25.56C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
13/12/2019 10:54:59,32,26.06C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
13/12/2019 10:55:09,33,26.5C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
13/12/2019 10:55:19,34,27.06C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
13/12/2019 10:55:29,35,27.5C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
13/12/2019 10:55:39,36,27.94C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
13/12/2019 10:55:49,37,28.5C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
13/12/2019 10:55:59,38,29.0C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
13/12/2019 10:56:09,39,29.56C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
13/12/2019 10:56:19,40,30.12C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
13/12/2019 10:56:29,41,30.69C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
13/12/2019 10:56:39,42,31.12C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
13/12/2019 10:56:49,43,31.81C,100%,100.0%,0.33Hz,0.69C,0,Not Yet,
13/12/2019 10:56:59,44,32.19C,100%,100.0%,0.33Hz,0.38C,0,Not Yet,
13/12/2019 10:57:09,45,32.81C,100%,100.0%,0.33Hz,0.62C,0,Not Yet,
13/12/2019 10:57:19,46,33.31C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
13/12/2019 10:57:29,47,33.75C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
13/12/2019 10:57:39,48,34.31C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
13/12/2019 10:57:49,49,34.75C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
13/12/2019 10:57:59,50,35.19C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
13/12/2019 10:58:09,51,35.75C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
13/12/2019 10:58:19,52,36.38C,100%,100.0%,0.33Hz,0.62C,0,Not Yet,
13/12/2019 10:58:29,53,36.88C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
13/12/2019 10:58:39,54,37.44C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
13/12/2019 10:58:49,55,37.88C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
13/12/2019 10:58:59,56,38.38C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
13/12/2019 10:59:09,57,38.81C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
13/12/2019 10:59:19,58,39.5C,100%,100.0%,0.33Hz,0.69C,0,Not Yet,
13/12/2019 10:59:29,59,40.0C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
13/12/2019 10:59:39,60,40.44C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
13/12/2019 10:59:49,61,40.69C,100%,100.0%,0.33Hz,0.25C,0,Not Yet,
13/12/2019 10:59:59,62,41.25C,100%,100.0%,0.33Hz,0.56C,0,Not Yet,
