Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,SDLC,
12/12/2019 16:19:48,0,53.5C,100%,55.0%,0.33Hz,0,
12/12/2019 16:19:58,1,53.187C,100%,55.0%,0.33Hz,0,
12/12/2019 16:20:08,2,52.937C,100%,55.0%,0.33Hz,0,
12/12/2019 16:20:18,3,52.687C,100%,55.0%,0.33Hz,0,
12/12/2019 16:20:28,4,52.375C,100%,55.0%,0.33Hz,0,
12/12/2019 16:20:38,5,52.125C,100%,55.0%,0.33Hz,0,
12/12/2019 16:20:48,6,52.0C,100%,55.0%,0.33Hz,0,
12/12/2019 16:20:58,7,52.125C,100%,55.0%,0.33Hz,0,
12/12/2019 16:21:08,8,52.25C,100%,55.0%,0.33Hz,0,
12/12/2019 16:21:18,9,52.5C,100%,55.0%,0.33Hz,0,
12/12/2019 16:21:28,10,52.625C,100%,55.0%,0.33Hz,0,
12/12/2019 16:21:38,11,52.812C,100%,55.0%,0.33Hz,0,
12/12/2019 16:21:48,12,52.937C,100%,55.0%,0.33Hz,0,
12/12/2019 16:21:58,13,53.125C,100%,55.0%,0.33Hz,0,
12/12/2019 16:22:08,14,53.25C,100%,55.0%,0.33Hz,0,
12/12/2019 16:22:18,15,53.375C,100%,55.0%,0.33Hz,0,
12/12/2019 16:22:28,16,53.562C,100%,55.0%,0.33Hz,0,
12/12/2019 16:22:38,17,53.687C,100%,55.0%,0.33Hz,0,
12/12/2019 16:22:48,18,53.875C,100%,55.0%,0.33Hz,0,
12/12/2019 16:22:58,19,53.937C,100%,55.0%,0.33Hz,0,
12/12/2019 16:23:08,20,54.125C,100%,55.0%,0.33Hz,0,
12/12/2019 16:23:18,21,54.312C,100%,55.0%,0.33Hz,0,
12/12/2019 16:23:28,22,54.312C,100%,55.0%,0.33Hz,0,
12/12/2019 16:23:38,23,54.562C,100%,55.0%,0.33Hz,0,
12/12/2019 16:23:48,24,54.75C,100%,55.0%,0.33Hz,0,
12/12/2019 16:23:58,25,54.875C,100%,55.0%,0.33Hz,0,
12/12/2019 16:24:08,26,54.875C,100%,55.0%,0.33Hz,0,
12/12/2019 16:24:18,27,55.062C,100%,55.0%,0.33Hz,0,
12/12/2019 16:24:28,28,55.187C,100%,55.0%,0.33Hz,0,
12/12/2019 16:24:38,29,55.312C,100%,55.0%,0.33Hz,0,
12/12/2019 16:24:48,30,55.375C,100%,55.0%,0.33Hz,0,
12/12/2019 16:24:58,31,55.5C,100%,55.0%,0.33Hz,0,
12/12/2019 16:25:08,32,55.687C,100%,55.0%,0.33Hz,0,
