Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,
12/12/2019 13:49:10,0,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:49:20,1,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:49:30,2,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:49:40,3,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:49:50,4,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:50:00,5,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:50:10,6,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:50:20,7,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:50:30,8,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:50:40,9,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:50:50,10,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:51:00,11,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:51:10,12,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:51:20,13,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:51:30,14,29C,66.7%,20.0%,3.3Hz,
12/12/2019 13:51:40,15,29C,66.7%,20.0%,3.3Hz,
