Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,SDLC,
12/12/2019 15:58:46,0,68.25C,79.2%,47.7%,0.33Hz,0,
12/12/2019 15:58:56,1,68.125C,81.2%,48.4%,0.33Hz,0,
12/12/2019 15:59:06,2,68.062C,82.3%,48.8%,0.33Hz,0,
12/12/2019 15:59:16,3,68.0C,83.3%,49.2%,0.33Hz,0,
12/12/2019 15:59:26,4,67.875C,85.4%,49.9%,0.33Hz,0,
12/12/2019 15:59:36,5,67.812C,86.5%,50.3%,0.33Hz,0,
12/12/2019 15:59:46,6,67.75C,87.5%,50.6%,0.33Hz,0,
12/12/2019 15:59:56,7,67.687C,88.6%,51.0%,0.33Hz,0,
12/12/2019 16:00:06,8,67.562C,90.6%,51.7%,0.33Hz,0,
12/12/2019 16:00:16,9,67.562C,90.6%,51.7%,0.33Hz,0,
12/12/2019 16:00:26,10,67.5C,91.7%,52.1%,0.33Hz,0,
12/12/2019 16:00:36,11,67.437C,92.7%,52.5%,0.33Hz,0,
12/12/2019 16:00:46,12,67.437C,92.7%,52.5%,0.33Hz,0,
12/12/2019 16:00:56,13,67.437C,92.7%,52.5%,0.33Hz,0,
12/12/2019 16:01:06,14,67.437C,92.7%,52.5%,0.33Hz,0,
12/12/2019 16:01:16,15,67.437C,92.7%,52.5%,0.33Hz,0,
12/12/2019 16:01:26,16,67.375C,93.8%,52.8%,0.33Hz,0,
12/12/2019 16:01:36,17,67.437C,92.7%,52.5%,0.33Hz,0,
12/12/2019 16:01:46,18,67.5C,91.7%,52.1%,0.33Hz,0,
12/12/2019 16:01:56,19,67.562C,90.6%,51.7%,0.33Hz,0,
12/12/2019 16:02:06,20,67.625C,89.6%,51.4%,0.33Hz,0,
12/12/2019 16:02:16,21,67.687C,88.6%,51.0%,0.33Hz,0,
12/12/2019 16:02:26,22,67.687C,88.6%,51.0%,0.33Hz,0,
12/12/2019 16:02:36,23,67.812C,86.5%,50.3%,0.33Hz,0,
12/12/2019 16:02:46,24,67.812C,86.5%,50.3%,0.33Hz,0,
12/12/2019 16:02:56,25,67.812C,86.5%,50.3%,0.33Hz,0,
12/12/2019 16:03:06,26,67.875C,85.4%,49.9%,0.33Hz,0,
12/12/2019 16:03:16,27,67.937C,84.4%,49.5%,0.33Hz,0,
12/12/2019 16:03:26,28,68.062C,82.3%,48.8%,0.33Hz,0,
12/12/2019 16:03:36,29,68.125C,81.2%,48.4%,0.33Hz,0,
12/12/2019 16:03:46,30,68.25C,79.2%,47.7%,0.33Hz,0,
12/12/2019 16:03:56,31,68.375C,77.1%,47.0%,0.33Hz,0,
12/12/2019 16:04:06,32,68.375C,77.1%,47.0%,0.33Hz,0,
12/12/2019 16:04:16,33,68.625C,72.9%,45.5%,0.33Hz,0,
12/12/2019 16:04:26,34,68.75C,70.8%,44.8%,0.33Hz,0,
12/12/2019 16:04:36,35,68.812C,69.8%,44.4%,0.33Hz,0,
12/12/2019 16:04:46,36,68.875C,68.8%,44.1%,0.33Hz,0,
12/12/2019 16:04:56,37,69.062C,65.6%,43.0%,0.33Hz,0,
12/12/2019 16:05:06,38,69.187C,63.6%,42.2%,0.33Hz,0,
12/12/2019 16:05:16,39,69.25C,62.5%,41.9%,0.33Hz,0,
12/12/2019 16:05:26,40,69.437C,59.4%,40.8%,0.33Hz,0,
12/12/2019 16:05:36,41,69.437C,59.4%,40.8%,0.33Hz,0,
12/12/2019 16:05:46,42,69.625C,56.2%,39.7%,0.33Hz,0,
12/12/2019 16:05:56,43,69.75C,54.2%,39.0%,0.33Hz,0,
12/12/2019 16:06:06,44,69.937C,51.1%,37.9%,0.33Hz,0,
12/12/2019 16:06:16,45,70.125C,47.9%,36.8%,0.33Hz,0,
12/12/2019 16:06:26,46,70.25C,45.8%,36.0%,0.33Hz,0,
12/12/2019 16:06:36,47,70.312C,44.8%,35.7%,0.33Hz,0,
12/12/2019 16:06:46,48,70.5C,41.7%,34.6%,0.33Hz,0,
12/12/2019 16:06:56,49,70.5C,41.7%,34.6%,0.33Hz,0,
12/12/2019 16:07:06,50,70.687C,38.6%,33.5%,0.33Hz,0,
12/12/2019 16:07:16,51,70.875C,35.4%,32.4%,0.33Hz,0,
12/12/2019 16:07:26,52,70.937C,34.4%,32.0%,0.33Hz,0,
12/12/2019 16:07:36,53,71.125C,31.2%,30.9%,0.33Hz,0,
12/12/2019 16:07:46,54,71.187C,30.2%,30.6%,0.33Hz,0,
12/12/2019 16:07:56,55,71.25C,29.2%,30.2%,0.33Hz,0,
12/12/2019 16:08:06,56,71.437C,26.1%,29.1%,0.33Hz,0,
12/12/2019 16:08:16,57,71.562C,24.0%,28.4%,0.33Hz,0,
12/12/2019 16:08:26,58,71.687C,21.9%,27.7%,0.33Hz,0,
12/12/2019 16:08:36,59,71.75C,20.8%,27.3%,0.33Hz,0,
12/12/2019 16:08:46,60,71.75C,20.8%,27.3%,0.33Hz,0,
12/12/2019 16:08:56,61,71.812C,19.8%,26.9%,0.33Hz,0,
12/12/2019 16:09:06,62,71.937C,17.7%,26.2%,0.33Hz,0,
12/12/2019 16:09:16,63,71.937C,17.7%,26.2%,0.33Hz,0,
12/12/2019 16:09:26,64,72.0C,16.7%,25.8%,0.33Hz,0,
12/12/2019 16:09:36,65,72.125C,14.6%,25.1%,0.33Hz,0,
12/12/2019 16:09:46,66,72.125C,14.6%,25.1%,0.33Hz,0,
12/12/2019 16:09:56,67,72.312C,11.5%,24.0%,0.33Hz,0,
12/12/2019 16:10:06,68,72.312C,11.5%,24.0%,0.33Hz,0,
12/12/2019 16:10:16,69,72.25C,12.5%,24.4%,0.33Hz,0,
12/12/2019 16:10:26,70,72.312C,11.5%,24.0%,0.33Hz,0,
12/12/2019 16:10:36,71,72.312C,11.5%,24.0%,0.33Hz,0,
12/12/2019 16:10:46,72,72.312C,11.5%,24.0%,0.33Hz,0,
12/12/2019 16:10:56,73,72.375C,10.4%,23.6%,0.33Hz,0,
12/12/2019 16:11:06,74,72.375C,10.4%,23.6%,0.33Hz,0,
