Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,Debug Message,
13/12/2019 11:42:00,0,37.19C,100%,100.0%,0.33Hz,17.19C,0,Not Yet,
13/12/2019 11:42:10,1,37.19C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 11:42:44,2,37.19C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 11:42:53,3,37.12C,100%,100.0%,0.33Hz,-0.06C,0,Not Yet,
13/12/2019 11:43:01,4,37.12C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 11:43:10,5,37.12C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 11:43:19,6,37.06C,100%,100.0%,0.33Hz,-0.06C,0,Not Yet,
13/12/2019 11:43:28,7,37.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 11:43:38,8,37.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 11:43:47,9,37.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
13/12/2019 11:43:56,10,37.0C,100%,100.0%,0.33Hz,-0.06C,0,Not Yet,
