Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,Debug Message,
12/05/2020 17:37:48,0,17.06C,100%,100.0%,0.33Hz,-2.94 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 7.5,
12/05/2020 17:37:58,1,17.06C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.04,
12/05/2020 17:38:08,2,17.06C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.27,
12/05/2020 17:38:18,3,17.06C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.47,
12/05/2020 17:38:28,4,17.06C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.6,
12/05/2020 17:38:38,5,17.06C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.75,
12/05/2020 17:38:48,6,17.06C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.87,
12/05/2020 17:38:58,7,17.06C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.14,
12/05/2020 17:39:08,8,17.06C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.33,
12/05/2020 17:39:18,9,17.12C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.52,
12/05/2020 17:39:28,10,17.12C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.68,
12/05/2020 17:39:38,11,17.19C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.81,
12/05/2020 17:39:48,12,17.19C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.85,
12/05/2020 17:39:58,13,17.25C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.96,
12/05/2020 17:40:08,14,17.31C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.05,
12/05/2020 17:40:18,15,17.44C,100%,100.0%,0.33Hz,0.12 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.15,
12/05/2020 17:40:28,16,17.5C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.34,
12/05/2020 17:40:38,17,17.5C,100%,100.0%,0.33Hz,0.0 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.52,
12/05/2020 17:40:48,18,17.69C,100%,100.0%,0.33Hz,0.19 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.68,
12/05/2020 17:40:58,19,17.88C,100%,100.0%,0.33Hz,0.19 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.81,
12/05/2020 17:41:08,20,17.94C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.9,
12/05/2020 17:41:18,21,18.0C,100%,100.0%,0.33Hz,0.06 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.0,
12/05/2020 17:41:28,22,18.12C,100%,100.0%,0.33Hz,0.12 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.15,
12/05/2020 17:41:38,23,18.25C,100%,100.0%,0.33Hz,0.12 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.36,
12/05/2020 17:41:48,24,18.38C,100%,100.0%,0.33Hz,0.12 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.46,
12/05/2020 17:41:58,25,18.56C,100%,100.0%,0.33Hz,0.19 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.65,
12/05/2020 17:42:08,26,18.88C,100%,100.0%,0.33Hz,0.31 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.79,
12/05/2020 17:42:18,27,19.19C,100%,100.0%,0.33Hz,0.31 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.91,
12/05/2020 17:42:28,28,19.56C,100%,100.0%,0.33Hz,0.38 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.98,
12/05/2020 17:42:38,29,19.88C,100%,100.0%,0.33Hz,0.31 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.07,
12/05/2020 17:42:48,30,20.19C,100%,100.0%,0.33Hz,0.31 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.15,
12/05/2020 17:42:58,31,20.56C,100%,100.0%,0.33Hz,0.38 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.21,
12/05/2020 17:43:08,32,21.0C,100%,100.0%,0.33Hz,0.44 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.26,
12/05/2020 17:43:18,33,21.44C,100%,100.0%,0.33Hz,0.44 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.35,
12/05/2020 17:43:28,34,21.81C,100%,100.0%,0.33Hz,0.38 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.4,
12/05/2020 17:43:38,35,22.25C,100%,100.0%,0.33Hz,0.44 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.43,
12/05/2020 17:43:48,36,22.81C,100%,100.0%,0.33Hz,0.56 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.15,
12/05/2020 17:43:58,37,23.31C,100%,100.0%,0.33Hz,0.5 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.37,
12/05/2020 17:44:08,38,23.88C,100%,100.0%,0.33Hz,0.56 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.55,
12/05/2020 17:44:18,39,24.25C,100%,100.0%,0.33Hz,0.38 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.71,
12/05/2020 17:44:28,40,24.75C,100%,100.0%,0.33Hz,0.5 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.81,
12/05/2020 17:44:38,41,25.31C,100%,100.0%,0.33Hz,0.56 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.93,
12/05/2020 17:44:48,42,25.81C,100%,100.0%,0.33Hz,0.5 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.03,
12/05/2020 17:44:58,43,26.25C,100%,100.0%,0.33Hz,0.44 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.11,
12/05/2020 17:45:08,44,26.69C,100%,100.0%,0.33Hz,0.44 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.16,
12/05/2020 17:45:18,45,27.25C,100%,100.0%,0.33Hz,0.56 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.24,
12/05/2020 17:45:28,46,27.75C,100%,100.0%,0.33Hz,0.5 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.29,
12/05/2020 17:45:38,47,28.12C,100%,100.0%,0.33Hz,0.38 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.34,
12/05/2020 17:45:48,48,28.62C,100%,100.0%,0.33Hz,0.5 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 9.3,
12/05/2020 17:45:58,49,29.06C,100%,100.0%,0.33Hz,0.44 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.15,
12/05/2020 17:46:08,50,29.5C,100%,100.0%,0.33Hz,0.44 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.36,
12/05/2020 17:46:18,51,30.0C,100%,100.0%,0.33Hz,0.5 Shut Down Count: ,0,Under Min Temp and loop time Correction is: 8.54,
